emp_no,gender,marital_status,age_band,age,department,education,education_field,job_role,business_travel,employee_count,attrition,attrition_label,job_satisfaction,active_employee,attrition,,,,
10001,Female,Single,35 - 44,41,Sales,Associates Degree,Life Sciences,Sales Executive,Travel_Rarely,1,Yes,Ex-Employees,4,0,1,,,,
10002,Male,Married,45 - 54,49,R&D,High School,Life Sciences,Research Scientist,Travel_Frequently,1,No,Current Employees,2,1,0,,,,
10003,Male,Single,35 - 44,37,R&D,Associates Degree,Other,Laboratory Technician,Travel_Rarely,1,Yes,Ex-Employees,3,0,1,,,,
10004,Female,Married,25 - 34,33,R&D,Master's Degree,Life Sciences,Research Scientist,Travel_Frequently,1,No,Current Employees,3,1,0,,,,
10005,Male,Married,25 - 34,27,R&D,High School,Medical,Laboratory Technician,Travel_Rarely,1,No,Current Employees,2,1,0,,,,
10006,Male,Single,25 - 34,32,R&D,Associates Degree,Life Sciences,Laboratory Technician,Travel_Frequently,1,No,Current Employees,4,1,0,,,
10007,Female,Married,Over 55,59,R&D,Bachelor's Degree,Medical,Laboratory Technician,Travel_Rarely,1,No,Current Employees,1,1,0,,,,
10008,Male,Divorced,25 - 34,30,R&D,High School,Life Sciences,Laboratory Technician,Travel_Rarely,1,No,Current Employees,3,1,0,,total ,1470,
10009,Male,Single,35 - 44,38,R&D,Bachelor's Degree,Life Sciences,Manufacturing Director,Travel_Frequently,1,No,Current Employees,3,1,0,,Yes,237,0.16122449
10010,Male,Married,35 - 44,36,R&D,Bachelor's Degree,Medical,Healthcare Representative,Travel_Rarely,1,No,Current Employees,3,1,0,,No,1233,0.83877551
10011,Male,Married,35 - 44,35,R&D,Bachelor's Degree,Medical,Laboratory Technician,Travel_Rarely,1,No,Current Employees,2,1,0,,,,
10012,Female,Single,25 - 34,29,R&D,Associates Degree,Life Sciences,Laboratory Technician,Travel_Rarely,1,No,Current Employees,3,1,0,,,,
10013,Male,Divorced,25 - 34,31,R&D,High School,Life Sciences,Research Scientist,Travel_Rarely,1,No,Current Employees,3,1,0,,,,
10014,Male,Divorced,25 - 34,34,R&D,Associates Degree,Medical,Laboratory Technician,Travel_Rarely,1,No,Current Employees,4,1,0,,,,
10015,Male,Single,25 - 34,28,R&D,Bachelor's Degree,Life Sciences,Laboratory Technician,Travel_Rarely,1,Yes,Ex-Employees,3,0,1,,,,
10016,Female,Divorced,25 - 34,29,R&D,Master's Degree,Life Sciences,Manufacturing Director,Travel_Rarely,1,No,Current Employees,1,1,0,,,,
10017,Male,Divorced,25 - 34,32,R&D,Associates Degree,Life Sciences,Research Scientist,Travel_Rarely,1,No,Current Employees,2,1,0,,,,
10018,Male,Divorced,Under 25,22,R&D,Associates Degree,Medical,Laboratory Technician,Non-Travel,1,No,Current Employees,4,1,0,,,,
10019,Female,Married,45 - 54,53,Sales,Master's Degree,Life Sciences,Manager,Travel_Rarely,1,No,Current Employees,4,1,0,,,,
10020,Male,Single,35 - 44,38,R&D,Bachelor's Degree,Life Sciences,Research Scientist,Travel_Rarely,1,No,Current Employees,4,1,0,,,,
10021,Female,Divorced,Under 25,24,R&D,Associates Degree,Other,Manufacturing Director,Non-Travel,1,No,Current Employees,3,1,0,,,,
10022,Male,Single,35 - 44,36,Sales,Master's Degree,Life Sciences,Sales Representative,Travel_Rarely,1,Yes,Ex-Employees,1,0,1,,,,
10023,Female,Single,25 - 34,34,R&D,Master's Degree,Life Sciences,Research Director,Travel_Rarely,1,No,Current Employees,2,1,0,,,,
10024,Male,Single,Under 25,21,R&D,Associates Degree,Life Sciences,Research Scientist,Travel_Rarely,1,No,Current Employees,4,1,0,,,,
10025,Male,Single,25 - 34,34,R&D,High School,Medical,Research Scientist,Travel_Rarely,1,Yes,Ex-Employees,1,0,1,,,,
10026,Female,Divorced,45 - 54,53,R&D,Bachelor's Degree,Other,Manager,Travel_Rarely,1,No,Current Employees,3,1,0,,,,
10027,Female,Single,25 - 34,32,R&D,High School,Life Sciences,Research Scientist,Travel_Frequently,1,Yes,Ex-Employees,1,0,1,,,,
10028,Male,Married,35 - 44,42,Sales,Master's Degree,Marketing,Sales Executive,Travel_Rarely,1,No,Current Employees,2,1,0,,,,
10029,Female,Married,35 - 44,44,R&D,Master's Degree,Medical,Healthcare Representative,Travel_Rarely,1,No,Current Employees,4,1,0,,,,
10030,Female,Single,45 - 54,46,Sales,Master's Degree,Marketing,Manager,Travel_Rarely,1,No,Current Employees,1,1,0,,,,
10031,Male,Single,25 - 34,33,R&D,Bachelor's Degree,Medical,Laboratory Technician,Travel_Rarely,1,No,Current Employees,4,1,0,,,,
10032,Male,Married,35 - 44,44,R&D,Master's Degree,Other,Healthcare Representative,Travel_Rarely,1,No,Current Employees,4,1,0,,,,
10033,Male,Single,25 - 34,30,R&D,Associates Degree,Medical,Laboratory Technician,Travel_Rarely,1,No,Current Employees,3,1,0,,,,
10034,Male,Married,35 - 44,39,Sales,Bachelor's Degree,Technical Degree,Sales Representative,Travel_Rarely,1,Yes,Ex-Employees,4,0,1,,,,
10035,Male,Married,Under 25,24,R&D,Bachelor's Degree,Medical,Research Scientist,Travel_Rarely,1,Yes,Ex-Employees,4,0,1,,,,
10036,Female,Divorced,35 - 44,43,R&D,Associates Degree,Medical,Research Scientist,Travel_Rarely,1,No,Current Employees,3,1,0,,,,
10037,Male,Married,45 - 54,50,Sales,Associates Degree,Marketing,Sales Representative,Travel_Rarely,1,Yes,Ex-Employees,3,0,1,,,,
10038,Female,Married,35 - 44,35,Sales,Bachelor's Degree,Marketing,Sales Representative,Travel_Rarely,1,No,Current Employees,4,1,0,,,,
10039,Female,Married,35 - 44,36,R&D,Master's Degree,Life Sciences,Research Scientist,Travel_Rarely,1,No,Current Employees,1,1,0,,,,
10040,Female,Married,25 - 34,33,Sales,Bachelor's Degree,Life Sciences,Sales Executive,Travel_Frequently,1,No,Current Employees,1,1,0,,,,
